patent_id,number_of_inventors,number_of_local_inventors,number_of_remote_inventors,number_of_clusters (local+remote),radius_local,radius_remote,local_cluster,nonlocal_cluster,remote_cluster
8647860,3,2,1,2,1000,1000,"{'number_of_inventors_in_cluster': 2, 'locations': '(32.2217,-110.9258); (32.2217,-110.9258)', 'center_lat': 32.2217, 'center_lng': -110.9258, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(40.7039,-105.0081)', 'center_lat': '40.7039', 'center_lng': '-105.0081', 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 1080.834983142492}]"
8802091,5,3,2,2,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(38.9806,-77.1006); (39.0444,-77.1192); (39.1033,-77.2911)', 'center_lat': 39.0444, 'center_lng': -77.1192, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 2, 'locations': '(37.775,-122.4183); (37.5203,-122.2747)', 'center_lat': 37.775, 'center_lng': -122.4183, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 3908.1539992588764}]"
9150656,5,3,2,2,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(38.9806,-77.1006); (39.0444,-77.1192); (39.1033,-77.2911)', 'center_lat': 39.0444, 'center_lng': -77.1192, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 2, 'locations': '(37.775,-122.4183); (37.5203,-122.2747)', 'center_lat': 37.775, 'center_lng': -122.4183, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 3908.1539992588764}]"
9441049,5,3,2,2,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(38.9806,-77.1006); (39.0444,-77.1192); (39.1033,-77.2911)', 'center_lat': 39.0444, 'center_lng': -77.1192, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 2, 'locations': '(37.775,-122.4183); (37.5203,-122.2747)', 'center_lat': 37.775, 'center_lng': -122.4183, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 3908.1539992588764}]"
9714295,5,3,2,2,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(38.9806,-77.1006); (39.0444,-77.1192); (39.1033,-77.2911)', 'center_lat': 39.0444, 'center_lng': -77.1192, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 2, 'locations': '(37.775,-122.4183); (37.5203,-122.2747)', 'center_lat': 37.775, 'center_lng': -122.4183, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 3908.1539992588764}]"
9714296,5,3,2,2,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(38.9806,-77.1006); (39.0444,-77.1192); (39.1033,-77.2911)', 'center_lat': 39.0444, 'center_lng': -77.1192, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 2, 'locations': '(37.775,-122.4183); (37.5203,-122.2747)', 'center_lat': 37.775, 'center_lng': -122.4183, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 3908.1539992588764}]"
9896508,5,3,2,2,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(38.9806,-77.1006); (39.0828,-77.2653); (39.1033,-77.2911)', 'center_lat': 39.0828, 'center_lng': -77.2653, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 2, 'locations': '(37.775,-122.4183); (37.5203,-122.2747)', 'center_lat': 37.775, 'center_lng': -122.4183, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 3894.914021414236}]"
7655016,6,6,0,1,1000,1000,"{'number_of_inventors_in_cluster': 6, 'locations': '(37.3394,-121.8939); (37.4241,-122.1661); (37.3689,-122.0353); (37.775,-122.4183); (37.4419,-122.1419); (37.4419,-122.1419)', 'center_lat': 37.775, 'center_lng': -122.4183, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8343151,5,5,0,1,1000,1000,"{'number_of_inventors_in_cluster': 5, 'locations': '(39.6133,-105.0161); (39.7589,-104.4269); (39.7392,-104.9842); (40.1672,-105.1014); (39.7556,-105.2206)', 'center_lat': 39.7392, 'center_lng': -104.9842, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,N/A
8346328,4,3,1,2,1000,1000,"{'number_of_inventors_in_cluster': 3, 'locations': '(37.8217,-121.9989); (37.3842,-122.2342); (37.3139,-121.0197)', 'center_lat': 37.3842, 'center_lng': -122.2342, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 'N/A'}",N/A,"[{'number_of_inventors_in_cluster': 1, 'locations': '(44.8547,-93.4706)', 'center_lat': 44.8547, 'center_lng': -93.4706, 'country': 'United States', 'geographical_relationship:': 'domestic', 'haversine_distance_to_local': 2532.8194620526133}]"
